Time(s),EKG(mV)
131.80000000000001,0.016251405701041222
131.80500000000001,0.024329027161002159
131.81,0.028584202751517296
131.815,0.035940609872341156
131.81999999999999,0.043321054428815842
131.82499999999999,0.059356093406677246
131.83000000000001,0.072289906442165375
131.83500000000001,0.091065570712089539
131.84,0.10101835429668427
131.845,0.11137982457876205
131.84999999999999,0.11669278144836426
131.85499999999999,0.12602052092552185
131.86000000000001,0.13417026400566101
131.86500000000001,0.14712810516357422
131.87,0.15313825011253357
131.875,0.15294592082500458
131.88,0.14544527232646942
131.88499999999999,0.12501081824302673
131.88999999999999,0.10791798681020737
131.89500000000001,0.081184908747673035
131.90000000000001,0.063803598284721375
131.905,0.038729310035705566
131.91,0.022694271057844162
131.91499999999999,0.00062505406094714999
131.91999999999999,-0.011827945709228516
131.92500000000001,-0.026468634605407715
131.93000000000001,-0.03413756936788559
131.935,-0.044499039649963379
131.94,-0.051446758210659027
131.94499999999999,-0.06103893369436264
131.94999999999999,-0.065246030688285828
131.95500000000001,-0.065823003649711609
131.96000000000001,-0.062240958213806152
131.965,-0.053754650056362152
131.97,-0.04860997200012207
131.97499999999999,-0.045340459793806076
131.97999999999999,-0.046855013817548752
131.98500000000001,-0.052817068994045258
131.99000000000001,-0.057144366204738617
131.995,-0.060510039329528809
132,-0.059692662209272385
132.005,-0.054884552955627441
132.00999999999999,-0.051326554268598557
132.01499999999999,-0.049162905663251877
132.02000000000001,-0.050869785249233246
132.02500000000001,-0.056687593460083008
132.03,-0.060654282569885254
132.035,-0.063491068780422211
132.03999999999999,-0.062769852578639984
132.04499999999999,-0.059404175728559494
132.05000000000001,-0.057264566421508789
132.05500000000001,-0.05630294606089592
132.06,-0.05738477036356926
132.065,-0.060534082353115082
132.06999999999999,-0.062409244477748871
132.07499999999999,-0.062505409121513367
132.08000000000001,-0.059524379670619965
132.08500000000001,-0.050124526023864746
132.09,-0.041902661323547363
132.095,-0.031348865479230881
132.09999999999999,-0.028247635811567307
132.10499999999999,-0.031324826180934906
132.11000000000001,-0.036998391151428223
132.11500000000001,-0.045196216553449631
132.12,-0.046975217759609222
132.125,-0.040892958641052246
132.13,-0.031300783157348633
132.13499999999999,-0.011755824089050293
132.13999999999999,0.0023800134658813477
132.14500000000001,0.021636486053466797
132.15000000000001,0.031493108719587326
132.155,0.039739012718200684
132.16,0.04012366384267807
132.16499999999999,0.032743215560913086
132.16999999999999,0.023127000778913498
132.17500000000001,0.0040628514252603054
132.18000000000001,-0.0096883382648229599
132.185,-0.028055310249328613
132.19,-0.037094555795192719
132.19499999999999,-0.044691365212202072
132.19999999999999,-0.046374201774597168
132.20500000000001,-0.046133797615766525
132.21000000000001,-0.045508742332458496
132.215,-0.045268338173627853
132.22,-0.045436620712280273
132.22499999999999,-0.04478752613067627
132.22999999999999,-0.043032567948102951
132.23500000000001,-0.039474569261074066
132.24000000000001,-0.039354365319013596
132.245,-0.049066744744777679
132.25,-0.063563190400600433
132.255,-0.088132619857788086
132.25999999999999,-0.092748403549194336
132.26499999999999,-0.051711201667785645
132.27000000000001,0.020506581291556358
132.27500000000001,0.19258877635002136
132.28,0.3290669322013855
132.285,0.50840938091278076
132.28999999999999,0.57680469751358032
132.29499999999999,0.56891942024230957
132.30000000000001,0.49297532439231873
132.30500000000001,0.31377714872360229
132.31,0.18513619899749756
132.315,0.030579566955566406
132.31999999999999,-0.030555527657270432
132.32499999999999,-0.061014890670776367
132.33000000000001,-0.054091215133666992
132.33500000000001,-0.031997960060834885
132.34,-0.022045176476240158
132.345,-0.021396081894636154
132.34999999999999,-0.027598541229963303
132.35499999999999,-0.037118595093488693
132.36000000000001,-0.039330326020717621
132.36500000000001,-0.034834742546081543
132.37,-0.028536122292280197
132.375,-0.018655460327863693
132.38,-0.013510784134268761
132.38499999999999,-0.0082939863204956055
132.38999999999999,-0.0057937703095376492
132.39500000000001,-0.002259810920804739
132.40000000000001,0.00019232432532589883
132.405,0.0038224458694458008
132.41,0.0060582160949707031
132.41499999999999,0.0093277301639318466
132.41999999999999,0.011731783859431744
132.42500000000001,0.016251405701041222
132.43000000000001,0.020097892731428146
132.435,0.027261972427368164
132.44,0.032935541123151779
132.44499999999999,0.042431555688381195
132.44999999999999,0.049138866364955902
132.45500000000001,0.059356093406677246
132.46000000000001,0.066351890563964844
132.465,0.077915392816066742
132.47,0.086954638361930847
132.47499999999999,0.10310988128185272
132.47999999999999,0.11515419185161591
132.48500000000001,0.13294419646263123
